,Id,SalePrice,LotFrontage_nan,MasVnrArea_nan,GarageYrBlt_nan,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
10,11,129500,0,0,0,0.0,0.75,0.44073849905683593,0.42141672484627013,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.2727272727272727,0.8,1.0,1.0,0.8,0.4444444444444445,0.5,0.3161764705882353,0.7213114754098361,1.0,0.0,0.6000000000000001,0.5,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.16666666666666666,0.7883454726822559,0.8333333333333333,0.0,0.6323982185129601,0.17021276595744683,1.0,1.0,1.0,1.0,0.42952150552874535,0.0,0.0,0.40148379678140333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.3333333333333333,0.24999999999999997,1.0,0.0,0.2,0.4,0.40186915887850466,0.3333333333333333,0.25,0.27080394922425954,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.5,0.6666666666666666,0.75
11,12,345000,0,0,0,0.2352941176470588,0.75,0.5128386291432698,0.43367710612996335,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.9545454545454546,0.8,1.0,1.0,1.0,0.8888888888888888,0.5,0.007352941176470588,0.01639344262295082,1.0,0.0,0.30000000000000004,0.4,1.0,0.7670354966482266,1.0,1.0,1.0,1.0,0.75,0.25,1.0,0.7995293638214673,0.8333333333333333,0.0,0.6680463040171782,0.19230769230769232,1.0,1.0,1.0,1.0,0.4779633554184648,0.9224512878254728,0.0,0.6860187476418771,0.3333333333333333,0.0,1.0,0.0,0.5,0.3333333333333333,1.0,0.75,1.0,0.6666666666666666,0.8,1.0,0.009345794392523364,1.0,0.75,0.5190409026798307,0.6666666666666666,1.0,1.0,0.7398231191881302,0.49015342856278266,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5454545454545454,0.0,1.0,1.0
12,13,144000,1,0,0,0.0,0.75,0.4354026207299284,0.45010510266757797,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.2727272727272727,0.8,1.0,1.0,0.8,0.4444444444444445,0.625,0.3382352941176471,0.7704918032786886,1.0,0.0,0.6000000000000001,0.6000000000000001,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.6666666666666666,0.7644758173720295,0.8333333333333333,0.0,0.666589541871256,0.14926350245499184,1.0,0.5,1.0,1.0,0.37981837719341005,0.0,0.0,0.355025120279469,0.3333333333333333,0.0,0.3333333333333333,0.0,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.0,0.0,0.2,0.4,0.42990654205607476,0.3333333333333333,0.25,0.24823695345557123,0.6666666666666666,1.0,1.0,0.7326498811015901,0.0,0.0,0.0,0.36666666666666664,0.0,0.0,1.0,1.0,0.0,0.7272727272727273,0.5,0.6666666666666666,0.75
13,14,279500,0,0,0,0.0,0.75,0.5382082258047163,0.41159778373695777,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.6818181818181819,0.8,1.0,1.0,0.8,0.6666666666666665,0.5,0.007352941176470588,0.01639344262295082,0.0,0.0,0.9,0.9,1.0,0.7761656170713369,0.6666666666666666,1.0,1.0,0.75,0.75,0.75,0.8333333333333333,0.0,0.8333333333333333,0.0,0.942405112450825,0.24451718494271688,1.0,1.0,1.0,1.0,0.5666374119494657,0.0,0.0,0.5296492413524438,0.0,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.8,0.8,0.009345794392523364,0.6666666666666666,0.75,0.5923836389280677,0.6666666666666666,1.0,1.0,0.7522875197629515,0.5591827765455476,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6363636363636364,0.25,1.0,1.0
14,15,157000,1,0,0,0.0,0.75,0.4354026207299284,0.4164613008226783,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.36363636363636365,0.8,1.0,1.0,0.8,0.5555555555555556,0.5,0.3529411764705882,0.8032786885245902,1.0,0.0,0.1,0.2,0.5,0.7266214897804425,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.3333333333333333,0.7638466826891847,0.8333333333333333,0.0,0.8065042959992178,0.20507364975450085,1.0,0.5,1.0,1.0,0.5000434888521372,0.0,0.0,0.4674023439479207,0.3333333333333333,0.0,0.3333333333333333,0.5,0.25,0.3333333333333333,0.3333333333333333,0.24999999999999997,1.0,0.3333333333333333,0.4,0.8,0.44859813084112143,0.6666666666666666,0.25,0.24823695345557123,0.6666666666666666,1.0,1.0,0.0,0.8508946677490776,0.31884057971014496,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.36363636363636365,0.5,0.6666666666666666,0.75
15,16,132000,0,0,0,0.14705882352941177,0.25,0.32358458927460987,0.3031315081878636,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.0,0.13636363636363635,0.8,1.0,1.0,0.4,0.6666666666666665,0.875,0.5735294117647058,0.11475409836065574,0.0,0.0,0.2,0.1,0.25,0.0,0.3333333333333333,1.0,0.25,0.5,0.75,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.867005313023448,0.13617021276595745,1.0,1.0,1.0,0.6666666666666666,0.35495400183908865,0.0,0.0,0.33178380711271105,0.0,0.0,0.3333333333333333,0.0,0.25,0.3333333333333333,0.3333333333333333,0.24999999999999997,1.0,0.0,0.2,0.4,0.14953271028037382,0.3333333333333333,0.5,0.40620592383638926,0.6666666666666666,1.0,1.0,0.5761729689539686,0.7496323271038501,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.5454545454545454,0.25,0.6666666666666666,0.75
16,17,149000,1,0,0,0.0,0.75,0.4354026207299284,0.4221319246980524,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.36363636363636365,0.8,1.0,1.0,0.8,0.5555555555555556,0.75,0.29411764705882354,0.6721311475409837,0.0,0.0,0.2,0.1,0.5,0.7045576963026321,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.6666666666666666,0.7363875345180634,0.8333333333333333,0.0,0.7808531821132589,0.16432078559738136,1.0,1.0,1.0,1.0,0.4161888196174224,0.0,0.0,0.38902142343787904,0.3333333333333333,0.0,0.3333333333333333,0.0,0.25,0.3333333333333333,0.3333333333333333,0.24999999999999997,1.0,0.3333333333333333,0.6000000000000001,0.8,0.37383177570093457,1.0,0.5,0.3385049365303244,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04516129032258065,0.1818181818181818,1.0,0.6666666666666666,0.75
17,18,90000,0,0,0,0.4117647058823529,0.75,0.4511884242141584,0.41413535832840354,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.2727272727272727,0.8,1.0,0.25,0.8,0.3333333333333333,0.5,0.2867647058823529,0.6557377049180328,0.0,0.0,0.1,0.2,0.25,0.0,0.3333333333333333,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5128159645881114,0.0,0.0,0.47934107573846196,0.0,0.0,0.6666666666666666,0.0,0.25,0.6666666666666666,0.3333333333333333,0.33333333333333337,1.0,0.0,0.2,0.2,0.3644859813084112,0.3333333333333333,0.5,0.3638928067700987,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03225806451612903,0.8181818181818182,0.0,0.6666666666666666,0.75
18,19,159000,0,0,0,0.0,0.75,0.4189252517290927,0.46078149321088446,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.4545454545454546,0.4,1.0,1.0,0.8,0.4444444444444445,0.5,0.029411764705882353,0.0819672131147541,0.0,0.0,0.9,0.9,0.25,0.0,0.3333333333333333,1.0,1.0,0.5,0.75,0.25,1.0,0.7492420219220665,0.8333333333333333,0.0,0.7929484910088058,0.1823240589198036,1.0,1.0,1.0,1.0,0.4555368477817998,0.0,0.0,0.42580094562699244,0.3333333333333333,0.0,0.3333333333333333,0.5,0.375,0.3333333333333333,0.6666666666666666,0.33333333333333337,1.0,0.0,0.2,0.4,0.037383177570093455,0.3333333333333333,0.5,0.40620592383638926,0.6666666666666666,1.0,1.0,0.0,0.7349392117121895,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4545454545454545,0.5,0.6666666666666666,0.75
19,20,139000,0,0,0,0.0,0.75,0.44073849905683593,0.34448843076218694,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.36363636363636365,0.8,1.0,1.0,0.8,0.4444444444444445,0.625,0.375,0.7377049180327869,1.0,0.0,0.8,0.6000000000000001,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.5,0.7205579755651722,0.8333333333333333,0.0,0.8077356528116356,0.1684124386252046,1.0,0.5,1.0,1.0,0.5251718188008319,0.0,0.0,0.4908903816473571,0.0,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.5,0.0,0.2,0.8,0.47663551401869153,0.3333333333333333,0.25,0.20733427362482368,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.36363636363636365,0.75,0.0,0.0
20,21,325300,0,0,0,0.2352941176470588,0.75,0.5770233613452704,0.46807584365798927,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.9545454545454546,0.8,1.0,1.0,1.0,0.7777777777777777,0.5,0.007352941176470588,0.01639344262295082,0.0,0.0,0.9,0.9,0.5,0.8054337652104903,0.6666666666666666,1.0,1.0,1.0,0.75,0.75,0.8333333333333333,0.0,0.8333333333333333,0.0,0.9095855940204939,0.18952536824877253,1.0,1.0,1.0,1.0,0.47019881944482345,0.9308845838193545,0.0,0.6938511950391502,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5833333333333334,1.0,0.3333333333333333,0.8,1.0,0.009345794392523364,0.6666666666666666,0.75,0.6015514809590973,0.6666666666666666,1.0,1.0,0.8120086466513166,0.7997470594659153,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9090909090909091,0.0,1.0,1.0
21,22,139400,0,0,0,0.14705882352941177,0.25,0.36466242706458907,0.3415934528461422,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.045454545454545456,0.8,1.0,1.0,0.4,0.6666666666666665,0.75,0.5661764705882353,0.9508196721311476,0.0,0.0,0.2,0.1,0.25,0.0,0.3333333333333333,1.0,1.0,0.5,0.75,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.832622393121368,0.10425531914893618,1.0,1.0,1.0,0.3333333333333333,0.45349278856385533,0.0,0.0,0.4238903156699285,0.0,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.6666666666666666,0.33333333333333337,1.0,0.3333333333333333,0.8,0.8,0.719626168224299,0.3333333333333333,0.25,0.19746121297602257,0.6666666666666666,1.0,0.0,0.0,0.0,0.3713768115942029,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.4545454545454545,0.25,0.6666666666666666,0.75
22,23,230000,0,0,0,0.0,0.75,0.4663383822971163,0.3941190970308648,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.6818181818181819,0.8,1.0,1.0,0.8,0.7777777777777777,0.5,0.044117647058823525,0.11475409836065574,1.0,0.0,0.9,0.9,0.5,0.7646535190356297,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.9647554216990658,0.29083469721767596,1.0,1.0,1.0,1.0,0.6361286369080852,0.0,0.0,0.5946043145682367,0.0,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.8,0.8,0.05607476635514018,0.6666666666666666,0.5,0.37658674188998587,0.6666666666666666,1.0,1.0,0.7620719735748336,0.8047815206763685,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7272727272727273,0.5,0.6666666666666666,0.75
23,24,129900,0,0,0,0.588235294117647,0.25,0.2691970180943626,0.23056706552204909,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.8,1.0,0.75,0.8,0.4444444444444445,0.75,0.22794117647058823,0.5245901639344263,0.0,0.0,1.0,1.0,0.25,0.0,0.3333333333333333,1.0,1.0,0.75,0.75,0.25,1.0,0.7795996756886623,0.8333333333333333,0.0,0.683713090004565,0.17021276595744683,1.0,0.5,1.0,1.0,0.43673069338493464,0.0,0.0,0.40822239327763743,0.3333333333333333,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.3333333333333333,0.33333333333333337,1.0,0.3333333333333333,0.6000000000000001,0.8,0.2897196261682243,0.3333333333333333,0.5,0.4033850493653032,0.6666666666666666,1.0,1.0,0.683255517105897,0.746800605273221,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4545454545454545,0.25,0.6666666666666666,0.75
24,25,154000,1,0,0,0.0,0.75,0.4354026207299284,0.36148823876336533,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.2727272727272727,0.8,1.0,1.0,0.8,0.4444444444444445,0.875,0.3088235294117647,0.16393442622950818,0.0,0.0,0.7000000000000001,0.6000000000000001,0.25,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.75,0.5,0.16666666666666666,0.6067872380845917,1.0,0.4531886024423338,0.6862535087189288,0.17348608837970542,1.0,1.0,1.0,1.0,0.43673069338493464,0.0,0.0,0.40822239327763743,0.3333333333333333,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.6666666666666666,0.33333333333333337,1.0,0.3333333333333333,0.6000000000000001,0.8,0.3925233644859813,0.3333333333333333,0.25,0.19040902679830748,0.6666666666666666,1.0,1.0,0.8895877681266467,0.7152969544245704,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.36363636363636365,1.0,0.6666666666666666,0.75
25,26,256300,0,0,0,0.0,0.75,0.6088315773772452,0.46828227650964394,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.0,0.9545454545454546,0.8,1.0,1.0,0.8,0.7777777777777777,0.5,0.014705882352941176,0.04918032786885246,0.0,0.0,0.9,0.9,1.0,0.8759410879562028,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.9484691888539925,0.2563011456628478,1.0,1.0,1.0,1.0,0.5925882058391032,0.0,0.0,0.553906055333103,0.0,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.8,0.8,0.018691588785046728,0.6666666666666666,0.75,0.6276445698166432,0.6666666666666666,1.0,1.0,0.0,0.641115568837025,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5454545454545454,0.75,0.6666666666666666,0.75
26,27,134800,0,0,0,0.0,0.75,0.38363315835431044,0.33493922168253976,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.0,0.36363636363636365,0.8,1.0,1.0,0.8,0.4444444444444445,0.75,0.4338235294117647,0.18032786885245902,0.0,0.0,0.2,0.1,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.5,0.3333333333333333,0.6320043309408906,0.5,0.32971506105834464,0.6702010407180464,0.14729950900163669,1.0,0.5,1.0,1.0,0.3748062019060896,0.0,0.0,0.3503401228146501,0.0,0.5,0.3333333333333333,0.0,0.375,0.3333333333333333,0.6666666666666666,0.24999999999999997,1.0,0.0,0.2,0.4,0.04672897196261682,0.3333333333333333,0.5,0.40620592383638926,0.6666666666666666,1.0,1.0,0.8005164613378324,0.5544489262470256,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.36363636363636365,1.0,0.6666666666666666,0.75
